Clinic_course,clinic,12,20,BANSHEE,33 51,WEATHER_SUNNY,race,addpolice,addweight1,1.0,corona,nocarhp,nominspeed,normalped,reserved
994.1072,-80.4221,4.2526,97.7364
917.9661,-79.6807,7.1198
919.5564,-85.7166,-1.5846
816.4901,-253.3982,3.3959
816.1395,-506.6298,14.5003
816.3753,-844.1661,14.5818
1008.5179,-1030.6748,14.3494
1326.1329,-960.9858,14.3492
1352.6976,-807.5165,14.4008
1200.2887,-581.8907,19.3994
1195.2963,-209.9652,24.2503
1370.524,-282.8221,49.4027
1387.0144,-493.0442,48.7843
1422.4053,-626.1753,11.7669
